中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,等效带宽数值
35.230.79.26,443.0,34.169.47.4,US,Seattle,隧道,93 ms,347 Mbps,44441 kB/s,347.0
34.82.76.253,443.0,34.82.87.23,US,Seattle,隧道,74 ms,325 Mbps,41676 kB/s,325.0
35.197.23.75,443.0,34.169.47.4,US,Seattle,隧道,152 ms,315 Mbps,40345 kB/s,315.0
150.230.42.80,443.0,104.28.201.73,US,San Jose,隧道,92 ms,314 Mbps,40243 kB/s,314.0
3.67.25.193,443.0,18.197.218.69,DE,Frankfurt,隧道,121 ms,241 Mbps,30924 kB/s,241.0
193.123.59.222,443.0,2a0b:21c0:1007:ca:0:67e2:dc0:130,DE,Frankfurt,隧道,97 ms,240 Mbps,30720 kB/s,240.0
130.61.11.98,443.0,2a0b:21c0:100a:1b7:0:dc10:571a:55da,DE,Frankfurt,隧道,92 ms,235 Mbps,30105 kB/s,235.0
144.21.53.157,443.0,2603:c020:c005:8f7e:e75d:1445:1607:a7f3,GB,Amsterdam,隧道,86 ms,167 Mbps,21401 kB/s,167.0
144.24.80.56,443.0,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,185 ms,49 Mbps,6321 kB/s,49.0
132.226.31.178,443.0,2a09:bac5:60e9:1846::26b:8f,US,Los Angeles,隧道,59 ms,48 Mbps,6171 kB/s,48.0
140.238.23.148,443.0,2a09:bac5:4750:1a14::299:4f,KR,Seoul,隧道,193 ms,38 Mbps,4895 kB/s,38.0
168.138.162.187,443.0,2603:c024:4509:ba23:441b:bc2a:e30f:2c83,SG,Singapore,隧道,295 ms,35 Mbps,4524 kB/s,35.0
129.154.46.115,443.0,104.28.201.82,IN,Hyderabad,隧道,216 ms,32 Mbps,4118 kB/s,32.0
152.70.88.98,443.0,2a09:bac1:3f00:90::22:f2,KR,Seoul,隧道,197 ms,31 Mbps,4041 kB/s,31.0
146.56.46.84,443.0,2603:c022:8007:a810::dcba,KR,Seoul,隧道,197 ms,28 Mbps,3648 kB/s,28.0
47.90.141.204,443.0,91.149.239.62,US,Los Angeles,隧道,44 ms,16 Mbps,2149 kB/s,16.0
131.186.60.210,443.0,2603:c021:8002:900:8479:146e:b870:4762,JP,Tokyo,隧道,313 ms,3 Mbps,470 kB/s,3.0
54.169.229.188,443.0,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,234 ms,2 Mbps,259 kB/s,2.0
140.238.33.161,443.0,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,398 ms,0 Mbps,32 kB/s,0.0
47.57.13.107,443.0,8.212.11.54,HK,Hong Kong,隧道,236 ms,0 Mbps,36 kB/s,0.0
