中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,等效带宽数值
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,71 ms,317 Mbps,40652 kB/s,317.0
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,164 ms,316 Mbps,40550 kB/s,316.0
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,73 ms,306 Mbps,39219 kB/s,306.0
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,73 ms,305 Mbps,39116 kB/s,305.0
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,159 ms,292 Mbps,37376 kB/s,292.0
141.148.241.167,443,98.98.156.14,DE,Frankfurt,隧道,89 ms,256 Mbps,32870 kB/s,256.0
193.123.63.65,443,163.123.193.8,DE,Frankfurt,隧道,89 ms,251 Mbps,32153 kB/s,251.0
138.3.254.247,443,98.98.166.58,US,Frankfurt,隧道,90 ms,235 Mbps,30105 kB/s,235.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,226 Mbps,28979 kB/s,226.0
143.47.185.187,443,163.123.193.4,DE,Frankfurt,隧道,92 ms,223 Mbps,28569 kB/s,223.0
141.148.239.229,443,23.236.112.222,DE,Frankfurt,隧道,89 ms,215 Mbps,27545 kB/s,215.0
141.147.107.161,443,98.98.156.18,DE,Frankfurt,隧道,93 ms,215 Mbps,27545 kB/s,215.0
